Metadata_Experiment,Metadata_Plate,Metadata_Well,assay_type,food_conc_OD,food_type,diluent,diluent_concentration_perc,drug,concentration_um,drug_stock_prep_date,drug_prep_method,strain,bleach,well_censor,well_censor_reason,notes
toxin22A,p70,A01,48h,10,15hHB101_20210223,water,1,Zinc dichloride,0,20200126,serial; Rscript,XZ1516,3,,,
toxin22A,p70,A09,48h,10,15hHB101_20210223,water,1,Zinc dichloride,50,20200126,serial; Rscript,XZ1516,3,,,
toxin22A,p70,A10,48h,10,15hHB101_20210223,water,1,Zinc dichloride,100,20200126,serial; Rscript,XZ1516,3,,,
toxin22A,p70,A11,48h,10,15hHB101_20210223,water,1,Zinc dichloride,200,20200126,serial; Rscript,XZ1516,3,,,
toxin22A,p70,A12,48h,10,15hHB101_20210223,water,1,Zinc dichloride,400,20200126,serial; Rscript,XZ1516,3,,,
toxin22A,p70,F01,48h,10,15hHB101_20210223,water,1,Zinc dichloride,0,20200126,serial; Rscript,ECA396,3,,,
toxin22A,p70,F09,48h,10,15hHB101_20210223,water,1,Zinc dichloride,50,20200126,serial; Rscript,ECA396,3,,,
toxin22A,p70,F10,48h,10,15hHB101_20210223,water,1,Zinc dichloride,100,20200126,serial; Rscript,ECA396,3,,,
toxin22A,p70,F11,48h,10,15hHB101_20210223,water,1,Zinc dichloride,200,20200126,serial; Rscript,ECA396,3,,,
toxin22A,p70,F12,48h,10,15hHB101_20210223,water,1,Zinc dichloride,400,20200126,serial; Rscript,ECA396,3,,,
toxin22A,p71,A01,48h,10,15hHB101_20210223,water,1,Zinc dichloride,0,20200126,serial; Rscript,XZ1516,3,,,
toxin22A,p71,A09,48h,10,15hHB101_20210223,water,1,Zinc dichloride,50,20200126,serial; Rscript,XZ1516,3,,,
toxin22A,p71,A10,48h,10,15hHB101_20210223,water,1,Zinc dichloride,100,20200126,serial; Rscript,XZ1516,3,,,
toxin22A,p71,A11,48h,10,15hHB101_20210223,water,1,Zinc dichloride,200,20200126,serial; Rscript,XZ1516,3,,,
toxin22A,p71,A12,48h,10,15hHB101_20210223,water,1,Zinc dichloride,400,20200126,serial; Rscript,XZ1516,3,,,
toxin22A,p71,F01,48h,10,15hHB101_20210223,water,1,Zinc dichloride,0,20200126,serial; Rscript,ECA396,3,,,
toxin22A,p71,F09,48h,10,15hHB101_20210223,water,1,Zinc dichloride,50,20200126,serial; Rscript,ECA396,3,,,
toxin22A,p71,F10,48h,10,15hHB101_20210223,water,1,Zinc dichloride,100,20200126,serial; Rscript,ECA396,3,,,
toxin22A,p71,F11,48h,10,15hHB101_20210223,water,1,Zinc dichloride,200,20200126,serial; Rscript,ECA396,3,,,
toxin22A,p71,F12,48h,10,15hHB101_20210223,water,1,Zinc dichloride,400,20200126,serial; Rscript,ECA396,3,,,
toxin22A,p72,A01,48h,10,15hHB101_20210223,water,1,Zinc dichloride,0,20200126,serial; Rscript,XZ1516,3,,,
toxin22A,p72,A09,48h,10,15hHB101_20210223,water,1,Zinc dichloride,50,20200126,serial; Rscript,XZ1516,3,,,
toxin22A,p72,A10,48h,10,15hHB101_20210223,water,1,Zinc dichloride,100,20200126,serial; Rscript,XZ1516,3,,,
toxin22A,p72,A11,48h,10,15hHB101_20210223,water,1,Zinc dichloride,200,20200126,serial; Rscript,XZ1516,3,,,
toxin22A,p72,A12,48h,10,15hHB101_20210223,water,1,Zinc dichloride,400,20200126,serial; Rscript,XZ1516,3,,,
toxin22A,p72,F01,48h,10,15hHB101_20210223,water,1,Zinc dichloride,0,20200126,serial; Rscript,ECA396,3,,,
toxin22A,p72,F09,48h,10,15hHB101_20210223,water,1,Zinc dichloride,50,20200126,serial; Rscript,ECA396,3,,,
toxin22A,p72,F10,48h,10,15hHB101_20210223,water,1,Zinc dichloride,100,20200126,serial; Rscript,ECA396,3,,,
toxin22A,p72,F11,48h,10,15hHB101_20210223,water,1,Zinc dichloride,200,20200126,serial; Rscript,ECA396,3,,,
toxin22A,p72,F12,48h,10,15hHB101_20210223,water,1,Zinc dichloride,400,20200126,serial; Rscript,ECA396,3,,,
