Metadata_Experiment,Metadata_Plate,Metadata_Well,assay_type,food_conc_OD,food_type,diluent,diluent_concentration_perc,drug,concentration_um,drug_stock_prep_date,drug_prep_method,strain,bleach,well_censor,well_censor_reason,notes
toxin22A,p55,E09,48h,10,15hHB101_20210223,water,1,Paraquat,500,20200126,serial; Rscript,XZ1516,2,,,
toxin22A,p55,E11,48h,10,15hHB101_20210223,water,1,Paraquat,2000,20200126,serial; Rscript,XZ1516,2,,,
toxin22A,p56,B01,48h,10,15hHB101_20210223,water,1,Paraquat,0,20200126,serial; Rscript,ECA396,2,,,
toxin22A,p56,B05,48h,10,15hHB101_20210223,water,1,Paraquat,31.25,20200126,serial; Rscript,ECA396,2,,,
toxin22A,p56,B07,48h,10,15hHB101_20210223,water,1,Paraquat,125,20200126,serial; Rscript,ECA396,2,,,
toxin22A,p56,B09,48h,10,15hHB101_20210223,water,1,Paraquat,500,20200126,serial; Rscript,ECA396,2,,,
toxin22A,p56,B11,48h,10,15hHB101_20210223,water,1,Paraquat,2000,20200126,serial; Rscript,ECA396,2,,,
toxin22A,p56,E01,48h,10,15hHB101_20210223,water,1,Paraquat,0,20200126,serial; Rscript,XZ1516,2,,,
toxin22A,p56,E05,48h,10,15hHB101_20210223,water,1,Paraquat,31.25,20200126,serial; Rscript,XZ1516,2,,,
toxin22A,p56,E07,48h,10,15hHB101_20210223,water,1,Paraquat,125,20200126,serial; Rscript,XZ1516,2,,,
toxin22A,p56,E09,48h,10,15hHB101_20210223,water,1,Paraquat,500,20200126,serial; Rscript,XZ1516,2,,,
toxin22A,p56,E11,48h,10,15hHB101_20210223,water,1,Paraquat,2000,20200126,serial; Rscript,XZ1516,2,,,
toxin22A,p57,A01,48h,10,15hHB101_20210223,water,1,Paraquat,0,20200126,serial; Rscript,XZ1516,3,,,
toxin22A,p57,A05,48h,10,15hHB101_20210223,water,1,Paraquat,31.25,20200126,serial; Rscript,XZ1516,3,,,
toxin22A,p57,A07,48h,10,15hHB101_20210223,water,1,Paraquat,125,20200126,serial; Rscript,XZ1516,3,,,
toxin22A,p57,A09,48h,10,15hHB101_20210223,water,1,Paraquat,500,20200126,serial; Rscript,XZ1516,3,,,
toxin22A,p57,A11,48h,10,15hHB101_20210223,water,1,Paraquat,2000,20200126,serial; Rscript,XZ1516,3,,,
toxin22A,p57,F01,48h,10,15hHB101_20210223,water,1,Paraquat,0,20200126,serial; Rscript,ECA396,3,,,
toxin22A,p57,F05,48h,10,15hHB101_20210223,water,1,Paraquat,31.25,20200126,serial; Rscript,ECA396,3,,,
toxin22A,p57,F07,48h,10,15hHB101_20210223,water,1,Paraquat,125,20200126,serial; Rscript,ECA396,3,,,
toxin22A,p57,F09,48h,10,15hHB101_20210223,water,1,Paraquat,500,20200126,serial; Rscript,ECA396,3,,,
toxin22A,p57,F11,48h,10,15hHB101_20210223,water,1,Paraquat,2000,20200126,serial; Rscript,ECA396,3,,,
toxin22A,p58,A01,48h,10,15hHB101_20210223,water,1,Paraquat,0,20200126,serial; Rscript,XZ1516,3,,,
toxin22A,p58,A05,48h,10,15hHB101_20210223,water,1,Paraquat,31.25,20200126,serial; Rscript,XZ1516,3,,,
toxin22A,p58,A07,48h,10,15hHB101_20210223,water,1,Paraquat,125,20200126,serial; Rscript,XZ1516,3,,,
toxin22A,p58,A09,48h,10,15hHB101_20210223,water,1,Paraquat,500,20200126,serial; Rscript,XZ1516,3,,,
toxin22A,p58,A11,48h,10,15hHB101_20210223,water,1,Paraquat,2000,20200126,serial; Rscript,XZ1516,3,,,
