Metadata_Experiment,Metadata_Plate,Metadata_Well,assay_type,food_conc_OD,food_type,diluent,diluent_concentration_perc,drug,concentration_um,drug_stock_prep_date,drug_prep_method,strain,bleach,well_censor,well_censor_reason,notes
toxin15A,p46,D09,48h,10,15hHB101_20200127,water,1,Paraquat,500,20200126,serial; Rscript,XZ1516,3,,,
toxin15A,p46,D11,48h,10,15hHB101_20200127,water,1,Paraquat,2000,20200126,serial; Rscript,XZ1516,3,,,
toxin15A,p46,H01,48h,10,15hHB101_20200127,water,1,Paraquat,0,20200126,serial; Rscript,ECA396,3,,,
toxin15A,p46,H05,48h,10,15hHB101_20200127,water,1,Paraquat,31.25,20200126,serial; Rscript,ECA396,3,,,
toxin15A,p46,H07,48h,10,15hHB101_20200127,water,1,Paraquat,125,20200126,serial; Rscript,ECA396,3,,,
toxin15A,p46,H09,48h,10,15hHB101_20200127,water,1,Paraquat,500,20200126,serial; Rscript,ECA396,3,,,
toxin15A,p46,H11,48h,10,15hHB101_20200127,water,1,Paraquat,2000,20200126,serial; Rscript,ECA396,3,,,
toxin15A,p47,D01,48h,10,15hHB101_20200127,water,1,Paraquat,0,20200126,serial; Rscript,XZ1516,3,,,
toxin15A,p47,D05,48h,10,15hHB101_20200127,water,1,Paraquat,31.25,20200126,serial; Rscript,XZ1516,3,,,
toxin15A,p47,D07,48h,10,15hHB101_20200127,water,1,Paraquat,125,20200126,serial; Rscript,XZ1516,3,,,
toxin15A,p47,D09,48h,10,15hHB101_20200127,water,1,Paraquat,500,20200126,serial; Rscript,XZ1516,3,,,
toxin15A,p47,D11,48h,10,15hHB101_20200127,water,1,Paraquat,2000,20200126,serial; Rscript,XZ1516,3,,,
toxin15A,p47,H01,48h,10,15hHB101_20200127,water,1,Paraquat,0,20200126,serial; Rscript,ECA396,3,,,
toxin15A,p47,H05,48h,10,15hHB101_20200127,water,1,Paraquat,31.25,20200126,serial; Rscript,ECA396,3,,,
toxin15A,p47,H07,48h,10,15hHB101_20200127,water,1,Paraquat,125,20200126,serial; Rscript,ECA396,3,,,
toxin15A,p47,H09,48h,10,15hHB101_20200127,water,1,Paraquat,500,20200126,serial; Rscript,ECA396,3,,,
toxin15A,p47,H11,48h,10,15hHB101_20200127,water,1,Paraquat,2000,20200126,serial; Rscript,ECA396,3,,,
toxin15A,p48,D01,48h,10,15hHB101_20200127,water,1,Paraquat,0,20200126,serial; Rscript,XZ1516,3,,,
toxin15A,p48,D05,48h,10,15hHB101_20200127,water,1,Paraquat,31.25,20200126,serial; Rscript,XZ1516,3,,,
toxin15A,p48,D07,48h,10,15hHB101_20200127,water,1,Paraquat,125,20200126,serial; Rscript,XZ1516,3,,,
toxin15A,p48,D09,48h,10,15hHB101_20200127,water,1,Paraquat,500,20200126,serial; Rscript,XZ1516,3,,,
toxin15A,p48,D11,48h,10,15hHB101_20200127,water,1,Paraquat,2000,20200126,serial; Rscript,XZ1516,3,,,
toxin15A,p48,H01,48h,10,15hHB101_20200127,water,1,Paraquat,0,20200126,serial; Rscript,ECA396,3,,,
toxin15A,p48,H05,48h,10,15hHB101_20200127,water,1,Paraquat,31.25,20200126,serial; Rscript,ECA396,3,,,
toxin15A,p48,H07,48h,10,15hHB101_20200127,water,1,Paraquat,125,20200126,serial; Rscript,ECA396,3,,,
toxin15A,p48,H09,48h,10,15hHB101_20200127,water,1,Paraquat,500,20200126,serial; Rscript,ECA396,3,,,
toxin15A,p48,H11,48h,10,15hHB101_20200127,water,1,Paraquat,2000,20200126,serial; Rscript,ECA396,3,,,
