Metadata_Experiment,Metadata_Plate,Metadata_Well,assay_type,food_conc_OD,food_type,diluent,diluent_concentration_perc,drug,concentration_um,drug_stock_prep_date,drug_prep_method,strain,bleach,well_censor,well_censor_reason,notes
toxin14A,p37,B01,48h,10,15hHB101_20200127,water,1,Paraquat,0,20200126,serial; Rscript,XZ1516,1,,,""
toxin14A,p37,B05,48h,10,15hHB101_20200127,water,1,Paraquat,31.25,20200126,serial; Rscript,XZ1516,1,,,""
toxin14A,p37,B07,48h,10,15hHB101_20200127,water,1,Paraquat,125,20200126,serial; Rscript,XZ1516,1,,,""
toxin14A,p37,B09,48h,10,15hHB101_20200127,water,1,Paraquat,500,20200126,serial; Rscript,XZ1516,1,,,""
toxin14A,p37,B11,48h,10,15hHB101_20200127,water,1,Paraquat,2000,20200126,serial; Rscript,XZ1516,1,,,""
toxin14A,p37,H01,48h,10,15hHB101_20200127,water,1,Paraquat,0,20200126,serial; Rscript,ECA396,1,,,""
toxin14A,p37,H05,48h,10,15hHB101_20200127,water,1,Paraquat,31.25,20200126,serial; Rscript,ECA396,1,,,""
toxin14A,p37,H07,48h,10,15hHB101_20200127,water,1,Paraquat,125,20200126,serial; Rscript,ECA396,1,,,""
toxin14A,p37,H09,48h,10,15hHB101_20200127,water,1,Paraquat,500,20200126,serial; Rscript,ECA396,1,,,""
toxin14A,p37,H11,48h,10,15hHB101_20200127,water,1,Paraquat,2000,20200126,serial; Rscript,ECA396,1,,,""
toxin14A,p38,B01,48h,10,15hHB101_20200127,water,1,Paraquat,0,20200126,serial; Rscript,XZ1516,1,,,""
toxin14A,p38,B05,48h,10,15hHB101_20200127,water,1,Paraquat,31.25,20200126,serial; Rscript,XZ1516,1,,,""
toxin14A,p38,B07,48h,10,15hHB101_20200127,water,1,Paraquat,125,20200126,serial; Rscript,XZ1516,1,,,""
toxin14A,p38,B09,48h,10,15hHB101_20200127,water,1,Paraquat,500,20200126,serial; Rscript,XZ1516,1,,,""
toxin14A,p38,B11,48h,10,15hHB101_20200127,water,1,Paraquat,2000,20200126,serial; Rscript,XZ1516,1,,,""
toxin14A,p38,H01,48h,10,15hHB101_20200127,water,1,Paraquat,0,20200126,serial; Rscript,ECA396,1,,,""
toxin14A,p38,H05,48h,10,15hHB101_20200127,water,1,Paraquat,31.25,20200126,serial; Rscript,ECA396,1,,,""
toxin14A,p38,H07,48h,10,15hHB101_20200127,water,1,Paraquat,125,20200126,serial; Rscript,ECA396,1,,,""
toxin14A,p38,H09,48h,10,15hHB101_20200127,water,1,Paraquat,500,20200126,serial; Rscript,ECA396,1,,,""
toxin14A,p38,H11,48h,10,15hHB101_20200127,water,1,Paraquat,2000,20200126,serial; Rscript,ECA396,1,,,""
toxin14A,p39,B01,48h,10,15hHB101_20200127,water,1,Paraquat,0,20200126,serial; Rscript,XZ1516,1,,,""
toxin14A,p39,B05,48h,10,15hHB101_20200127,water,1,Paraquat,31.25,20200126,serial; Rscript,XZ1516,1,,,""
toxin14A,p39,B07,48h,10,15hHB101_20200127,water,1,Paraquat,125,20200126,serial; Rscript,XZ1516,1,,,""
toxin14A,p39,B09,48h,10,15hHB101_20200127,water,1,Paraquat,500,20200126,serial; Rscript,XZ1516,1,,,""
toxin14A,p39,B11,48h,10,15hHB101_20200127,water,1,Paraquat,2000,20200126,serial; Rscript,XZ1516,1,,,""
toxin14A,p39,H01,48h,10,15hHB101_20200127,water,1,Paraquat,0,20200126,serial; Rscript,ECA396,1,,,""
